sub,sub_name,node,year,venue,title,doi,desc_in_sub,desc_share,spc_out,cited_by,cd,cd5,reach_depth
12,Deformable & Soft Displays,2304,2008,chi,Inflatable mouse,10.1145/1357054.1357090,135,0.699,402.3,110,0.25,0.09523809523809523,22
12,Deformable & Soft Displays,1729,2005,chi,Paper windows,10.1145/1054972.1055054,133,0.689,470.3,214,-0.010638297872340425,0.057692307692307696,22
12,Deformable & Soft Displays,3360,2012,chi,Shape-changing interfaces,10.1145/2207676.2207781,127,0.658,1365.5,435,0.04174573055028463,0.07971014492753623,18
12,Deformable & Soft Displays,3777,2013,chi,Morphees,10.1145/2470654.2470738,118,0.611,1260.0,226,-0.14204545454545456,-0.225,17
12,Deformable & Soft Displays,2978,2011,chi,PaperPhone,10.1145/1978942.1979136,126,0.653,618.8,212,-0.08571428571428572,-0.189873417721519,19
12,Deformable & Soft Displays,1574,2004,chi,Gummi,10.1145/985692.985726,134,0.694,594.4,187,0.2976190476190476,0.07142857142857142,23
12,Deformable & Soft Displays,2832,2010,chi,How users manipulate deformable displays as input devices,10.1145/1753326.1753572,129,0.668,544.1,137,-0.04081632653061224,-0.08,20
12,Deformable & Soft Displays,2451,2009,chi,Providing dynamically changeable physical buttons on a visual display,10.1145/1518701.1518749,132,0.684,747.8,213,0.23404255319148937,0.06896551724137931,21
12,Deformable & Soft Displays,6394,2018,chi,Grand Challenges in Shape-Changing Interface Research,10.1145/3173574.3173873,41,0.212,822.8,233,-0.057971014492753624,-0.08426966292134831,9
13,Tangible Interaction,1440,2002,chi,SmartSkin,10.1145/503376.503397,46,0.343,463.3,633,-0.011904761904761904,0.04878048780487805,27
13,Tangible Interaction,2467,2009,chi,SLAP widgets,10.1145/1518701.1518779,38,0.284,545.3,191,-0.025477707006369428,-0.12307692307692308,20
13,Tangible Interaction,1125,1998,chi,Illuminating light,10.1145/274644.274717,84,0.627,335.1,167,-0.04090909090909091,-0.24390243902439024,32
13,Tangible Interaction,1178,1998,chi,Triangles,10.1145/274644.274652,78,0.582,364.7,225,-0.03375527426160337,-0.14583333333333334,32
13,Tangible Interaction,979,1995,chi,Bricks,10.1145/223904.223964,113,0.843,1213.4,972,0.3058823529411765,0.23333333333333334,35
13,Tangible Interaction,3382,2012,chi,CapStones and ZebraWidgets,10.1145/2207676.2208371,20,0.149,400.0,122,-0.375,-0.3333333333333333,16
13,Tangible Interaction,1111,1997,chi,Tangible bits,10.1145/258549.258715,109,0.813,1475.8,3809,0.3387096774193548,-0.09090909090909091,33
13,Tangible Interaction,858,1992,chi,A desk supporting computer-based interaction with paper documents,10.1145/142750.143007,72,0.537,178.5,150,1.0,1.0,37
14,Printed Electronics,5987,2017,chi,Electrick,10.1145/3025453.3025842,50,0.373,623.1,146,0.041666666666666664,0.02631578947368421,10
14,Printed Electronics,4680,2015,chi,Acoustruments,10.1145/2702123.2702414,73,0.545,621.2,111,0.014492753623188406,0.06097560975609756,15
14,Printed Electronics,237,1985,chi,A multi-touch three dimensional touch-sensitive tablet,10.1145/317456.317461,79,0.59,57.6,84,1.0,1.0,39
14,Printed Electronics,3503,2012,chi,Touché,10.1145/2207676.2207743,78,0.582,553.8,321,-0.04395604395604396,-0.10843373493975904,18
14,Printed Electronics,4404,2014,chi,PrintSense,10.1145/2556288.2557173,87,0.649,691.8,99,1.0,1.0,16
14,Printed Electronics,954,1995,chi,Applying electric field sensing to human-computer interfaces,10.1145/223904.223940,79,0.59,202.6,250,0.15079365079365079,0.10714285714285714,36
14,Printed Electronics,797,1992,chi,One dimensional motion tailoring for the disabled,10.1145/142750.142876,80,0.597,43.1,11,1.0,1.0,38
14,Printed Electronics,4986,2015,chi,iSkin,10.1145/2702123.2702391,71,0.53,718.4,363,-0.03571428571428571,-0.0625,15
15,Digital Fabrication,4098,2014,chi,Printing teddy bears,10.1145/2556288.2557338,111,0.689,950.9,159,0.30303030303030304,0.375,15
15,Digital Fabrication,4070,2013,chi,LaserOrigami,10.1145/2470654.2481358,132,0.82,534.1,115,0.4791666666666667,0.21428571428571427,16
15,Digital Fabrication,6666,2018,chi,RoMA,10.1145/3173574.3174153,67,0.416,1003.2,171,-0.3048780487804878,-0.2608695652173913,10
15,Digital Fabrication,4333,2014,chi,MixFab,10.1145/2556288.2557090,118,0.733,935.6,170,0.0782122905027933,0.10344827586206896,16
15,Digital Fabrication,10257,2023,chi,CoilCAM: Enabling Parametric Design for Clay 3D Printing Through an Action-Oriented Toolpa,10.1145/3544548.3580745,25,0.155,768.3,74,-0.1864406779661017,-0.1864406779661017,5
15,Digital Fabrication,1560,2003,chi,An interface for creating and manipulating curves using a high degree-of-freedom curve inp,10.1145/642611.642645,125,0.776,62.8,71,0.03255813953488372,0.0,21
15,Digital Fabrication,3964,2013,chi,FreeD,10.1145/2470654.2481361,112,0.696,950.5,202,0.8333333333333334,0.7647058823529411,16
15,Digital Fabrication,3517,2012,chi,KidCAD,10.1145/2207676.2208403,124,0.77,321.6,93,0.3269230769230769,0.30434782608695654,17
