sub,name,group,papers,birth,founders,y0,y2,y4,y6,y8,y10,y15
69,VR Meditation & Breathing,hci,155,2014,24,0.4,0.67,0.4,0.29,0.27,0.0,nan
70,Brain-Computer Interfaces,hci,123,2009,13,0.67,0.29,0.33,0.14,0.0,0.0,0.17
71,Rehabilitation Games,hci,120,2011,18,0.5,0.71,0.62,0.5,0.8,0.33,0.29
72,Playful Experience & Drones,hci,335,2004,5,nan,0.6,0.2,0.0,0.06,0.0,0.0
73,Visual Accessibility,hci,399,2006,11,0.6,0.33,0.4,0.67,0.33,0.4,0.15
74,Neurodivergence & Autism,hci,378,2004,4,nan,0.4,0.25,0.5,0.25,0.14,0.04
75,Web Accessibility,hci,319,1992,7,nan,0.71,0.88,0.1,0.0,0.0,0.0
76,Deaf & Sign Language Tech,hci,311,2005,9,nan,nan,0.6,0.43,0.33,0.23,0.1
77,Non-visual Navigation,hci,286,2003,6,nan,0.5,nan,0.0,0.0,0.0,0.0
78,Tactile Graphics,hci,235,2008,8,0.0,0.56,0.4,0.0,0.0,0.07,0.0
80,DIY Assistive Technology,hci,153,2013,12,0.25,0.57,0.75,0.4,0.33,0.08,nan
81,Accessible Games & VR,hci,143,2007,4,nan,0.67,nan,0.0,0.0,0.0,0.0
82,AAC & Communication Disabilities,hci,223,2000,5,0.67,0.75,nan,0.0,0.0,0.0,0.0
83,Real-time Groupware,hci,285,1986,15,0.58,0.31,0.12,0.0,0.0,0.0,nan
84,Gaze in Video Communication,hci,254,1990,4,nan,0.67,nan,0.0,0.0,0.12,0.0
85,Family Video Communication,hci,253,2004,7,nan,0.25,nan,0.0,0.0,0.0,0.0
86,Augmented Reality Collaboration,hci,231,2013,16,nan,0.33,0.25,0.06,0.0,0.0,nan
87,Public & Ambient Displays,hci,222,2000,7,nan,0.33,0.3,nan,0.0,0.0,0.0
88,Distributed Team Awareness,hci,215,1988,7,nan,0.25,0.67,0.0,0.18,0.12,0.0
89,Social VR & Presence,hci,184,2017,23,0.4,0.67,0.43,0.18,0.11,nan,nan
90,Tabletop Collaboration,hci,152,1999,6,nan,0.25,0.4,nan,0.4,0.0,0.0
91,Surgical AR & Video Guidance,hci,154,2011,4,0.67,0.25,0.0,0.09,0.14,0.0,0.0
92,RF & Radar Sensing,hci,235,2016,58,0.83,0.75,0.63,0.47,0.48,0.38,nan
93,Wearable Activity Recognition,hci,212,2011,9,nan,0.4,0.5,0.43,0.21,0.25,0.0
94,Indoor Localization,hci,170,2002,7,nan,nan,0.5,0.2,0.2,0.08,0.0
95,Urban Mobility Data,hci,161,2009,13,nan,0.5,0.57,0.17,0.0,0.11,0.12
96,Acoustic Health Sensing,hci,244,2015,22,0.33,0.38,0.33,0.21,0.09,0.02,nan
97,Tangible Interaction,hci,884,1995,20,1.0,0.64,0.5,0.2,0.0,0.17,0.04
98,VR Haptics,hci,755,2002,2,nan,0.0,nan,0.0,0.14,0.0,0.0
99,Deformable & Soft Displays,hci,386,2004,2,nan,0.0,0.12,0.25,0.08,0.0,0.0
100,Digital Fabrication,hci,378,2011,26,nan,0.88,0.58,0.17,0.36,0.42,0.17
101,E-textiles & Weaving,hci,355,2009,6,nan,nan,0.0,0.0,0.0,0.0,0.0
102,Printed Electronics,hci,318,2007,4,nan,0.29,nan,0.1,0.06,0.0,0.0
103,Data Physicalization,hci,123,2013,28,0.5,0.78,0.73,0.8,0.56,0.5,nan
104,Electrical Muscle Stimulation,hci,258,2008,5,nan,0.22,0.25,0.0,0.08,0.06,0.0
